run_id,sample_size,treated_group_size,accepted
run_20260512T175427Z_9ce0bb,227320,81508.0,True
run_20260512T181941Z_e6166c,636722,,False
run_20260512T184531Z_bba9ce,47238,33561.0,True
run_20260512T192135Z_fa077c,165079,84783.0,True
run_20260512T195649Z_6fe9f8,468301,84783.0,True
run_20260512T202814Z_f0f05b,36208,31189.0,True
run_20260512T205543Z_e8f98c,438473,72631.0,True
run_20260512T212806Z_be0886,132497,36879.0,True
run_20260512T214623Z_bd588d,293402,67020.0,True
run_20260512T222400Z_15c9ce,211555,51600.0,True
run_20260512T225304Z_2ce7aa,148196,31935.0,True
run_20260512T232311Z_df32a2,29108,17318.0,True
run_20260515T121759Z_c3a686,44161,26294.0,True
run_20260515T124457Z_a65aa6,231490,75919.0,True
run_20260515T130450Z_b47da2,250966,99616.0,True
run_20260519T150013Z_86f425,322914,95737.0,True
run_20260519T151749Z_b876e8,245387,81508.0,True
run_20260519T154246Z_a123c7,262473,73159.0,True
run_20260519T160813Z_93af19,56773,39486.0,True
run_20260519T162733Z_a7186e,361040,90501.0,True
run_20260519T164707Z_6990f2,339434,105522.0,True
run_20260519T170900Z_57cd13,104181,87987.0,True
run_20260519T172426Z_1e8b9c,269817,,False
run_20260519T175154Z_3aea29,355188,78994.0,True
run_20260519T180754Z_3252b8,335346,87170.0,True
run_20260519T182150Z_f4b103,331744,78994.0,True
run_20260519T184410Z_8125e8,54770,22562.0,True
run_20260519T185807Z_0abec6,139950,81508.0,True
run_20260519T192436Z_7deb2b,636722,116323.0,True
run_20260519T201356Z_1abf37,470312,92822.0,True
run_20260519T204406Z_3e0e7f,119033,85509.0,True
run_20260519T210909Z_8557b5,117135,81508.0,True
run_20260519T212238Z_8b5b4b,128841,105255.0,True
run_20260519T214740Z_8d41c9,355188,81508.0,True
run_20260519T221522Z_5b7b75,320070,80438.0,True
run_20260519T223446Z_053781,69506,52771.0,True
run_20260519T225414Z_73a49b,15399,9181.0,True
run_20260519T231313Z_3f87bc,128332,95703.0,True
run_20260519T233144Z_36c7ee,267229,81508.0,True
run_20260519T235430Z_46f451,14102,9083.0,True
run_20260520T001352Z_9d41a4,413472,96553.0,True
